,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,0
description,365
neighborhood_overview,7054
picture_url,0
host_id,0
host_url,0
host_name,0
host_since,0
host_location,5429
host_about,5861
host_response_time,613
host_response_rate,613
host_acceptance_rate,440
host_is_superhost,1416
host_thumbnail_url,0
host_picture_url,0
host_neighbourhood,12103
host_listings_count,0
host_total_listings_count,0
host_verifications,0
host_has_profile_pic,0
host_identity_verified,0
neighbourhood,7054
neighbourhood_cleansed,0
neighbourhood_group_cleansed,18736
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,1824
bathrooms_text,29
bedrooms,282
beds,1832
amenities,0
price,1832
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,21
maximum_minimum_nights,21
minimum_maximum_nights,21
maximum_maximum_nights,21
minimum_nights_avg_ntm,21
maximum_nights_avg_ntm,21
calendar_updated,18736
has_availability,104
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,2405
last_review,2405
review_scores_rating,2405
review_scores_accuracy,2406
review_scores_cleanliness,2406
review_scores_checkin,2406
review_scores_communication,2406
review_scores_location,2406
review_scores_value,2406
license,19
instant_bookable,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,2405
